especie;altura estipite;altura total;tipologia;ug;barrio;distrito;Elemento;fecha  plantacion;marras;x;y;Crecimiento medio (m);media del est°pte (m);Altura media ambiente urbano (m);Varianza altura (m);varianza est°pite (m);desviacion estandar;CV
"Arecastrum
romanzoffianum";4;5;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233613.59;4140079.46;8.31;5.2;10;5.34;5.3;2.31;0.28
"Arecastrum
romanzoffianum";4;5;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233609.71;4140080.75;;;;;;;
"Arecastrum
romanzoffianum";3;5;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233639.5;4140079.54;;;;;;;
"Arecastrum
romanzoffianum";3;5;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233634.17;4140075.43;;;;;;;
"Arecastrum
romanzoffianum";3;5;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233614.78;4140084.57;;;;;;;
"Arecastrum
romanzoffianum";3;6;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233777.05;4140049.27;;;;;;;
"Arecastrum
romanzoffianum";4;6;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;233788.78;4140041.22;;;;;;;
"Arecastrum
romanzoffianum";7;8;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;234203.56;4139955.18;;;;;;;
"Arecastrum
romanzoffianum";3;8;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;234220.11;4139951.87;;;;;;;
"Arecastrum
romanzoffianum";3;8;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;234227.42;4139949.81;;;;;;;
"Arecastrum
romanzoffianum";3;8;Arbolado Viario;AV JUAN PABLO II;TABLADA;Los Remedios;Palmera Viario;;;234450.99;4139896.58;;;;;;;
"Arecastrum
romanzoffianum";5;5;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233500.39;4140606.88;;;;;;;
"Arecastrum
romanzoffianum";5;5;Arbolado Viario;AV BLAS INFANTE;EL TARDON-EL CARMEN;Triana;Palmera Viario;;;233480.71;4140595.08;;;;;;;
"Arecastrum
romanzoffianum";5;6;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233457.36;4140579.85;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233432.1;4140564.87;;;;;;;
"Arecastrum
romanzoffianum";5;6;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233443.91;4140572.1;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233426.14;4140561.44;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233408.5;4140551.03;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233401.14;4140546.59;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233364.33;4140524.76;;;;;;;
"Arecastrum
romanzoffianum";5;5;Arbolado Viario;AV BLAS INFANTE;EL TARDON-EL CARMEN;Triana;Palmera Viario;;;233336.16;4140508.39;;;;;;;
"Arecastrum
romanzoffianum";5;7;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233263.81;4140470.95;;;;;;;
"Arecastrum
romanzoffianum";5;6;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233273.71;4140475.14;;;;;;;
"Arecastrum
romanzoffianum";5;6;Arbolado Viario;AV BLAS INFANTE;TABLADA;Los Remedios;Palmera Viario;;;233284.37;4140480.22;;;;;;;
"Arecastrum
romanzoffianum";4;5;Arbolado Viario;AV BLAS INFANTE;EL TARDON-EL CARMEN;Triana;Palmera Viario;;;233295.29;4140485.93;;;;;;;
